module/file,purpose,owner,risk,test-coverage,status
# ==========================================
# INVENTAIRE PROJET NEXUS RÉUSSITE
# ==========================================

# === CONFIGURATION RACINE ===
README.md,Documentation projet principal,Développeur Principal,LOW,N/A,ACTIVE
start.sh,Script de démarrage du projet,Développeur Principal,MEDIUM,N/A,ACTIVE
docker-compose.yml,Configuration Docker orchestration,DevOps,MEDIUM,N/A,ACTIVE
project_checksums.txt,Checksums de sécurité des fichiers,Système,LOW,N/A,GENERATED
tree_report.txt,Rapport de structure du projet,Système,LOW,N/A,GENERATED

# === BACKEND PYTHON ===
backend/requirements.txt,Dépendances Python backend,Backend Team,HIGH,N/A,ACTIVE
backend/conftest.py,Configuration tests pytest,Backend Team,MEDIUM,HIGH,ACTIVE
backend/run_tests.sh,Script d'exécution des tests,Backend Team,LOW,N/A,ACTIVE
backend/Dockerfile,Container backend production,DevOps,HIGH,LOW,ACTIVE
backend/docker-entrypoint.sh,Point d'entrée Docker,DevOps,MEDIUM,LOW,ACTIVE
backend/.env,Variables d'environnement,Backend Team,CRITICAL,N/A,ACTIVE

# === BACKEND CORE ===
backend/src/main_production.py,Point d'entrée application Flask,Backend Team,CRITICAL,MEDIUM,ACTIVE
backend/src/config.py,Configuration application,Backend Team,HIGH,LOW,ACTIVE
backend/src/__init__.py,Initialisation package backend,Backend Team,LOW,N/A,ACTIVE
backend/src/database.py,Configuration base de données,Backend Team,HIGH,LOW,ACTIVE

# === MODÈLES DE DONNÉES ===
backend/src/models/__init__.py,Initialisation modèles,Backend Team,LOW,N/A,ACTIVE
backend/src/models/user.py,Modèle utilisateur,Backend Team,HIGH,MEDIUM,ACTIVE
backend/src/models/student.py,Modèle étudiant,Backend Team,HIGH,MEDIUM,ACTIVE
backend/src/models/formulas.py,Modèle formules mathématiques,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/models/content_system.py,Système de gestion contenu,Backend Team,HIGH,LOW,ACTIVE

# === ROUTES API ===
backend/src/routes/__init__.py,Initialisation routes,Backend Team,LOW,N/A,ACTIVE
backend/src/routes/user.py,Routes gestion utilisateurs,Backend Team,HIGH,MEDIUM,ACTIVE
backend/src/routes/students.py,Routes gestion étudiants,Backend Team,HIGH,LOW,ACTIVE
backend/src/routes/documents.py,Routes gestion documents,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/routes/openai_routes.py,Routes intégration OpenAI,Backend Team,HIGH,LOW,ACTIVE
backend/src/routes/aria.py,Routes assistant IA Aria,Backend Team,HIGH,LOW,ACTIVE
backend/src/routes/formulas.py,Routes formules mathématiques,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/routes/video_conference_routes.py,Routes vidéoconférence,Backend Team,MEDIUM,LOW,ACTIVE
